"unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","id","date","year","prefec_kanji","prefec"
3737,1518,2219,406275753,189809998,216465755,5,"2017-09-01",2017,"秋田","Akita"
3466,1402,2064,388406978,178627634,209779344,6,"2017-09-01",2017,"山形","Yamagata"
6590,2899,3691,755987226,375722488,380264738,7,"2017-09-01",2017,"福島","Fukushima"
7833,3156,4677,926155825,429116989,497038836,8,"2017-09-01",2017,"茨城","Ibaraki"
5859,2538,3321,699332136,344337251,354994885,9,"2017-09-01",2017,"栃木","Tochigi"
5251,2149,3102,599787129,282709639,317077490,10,"2017-09-01",2017,"群馬","Gunma"
19794,8420,11374,2434404934,1182583076,1251821858,11,"2017-09-01",2017,"埼玉","Saitama"
16242,6588,9654,2006238771,920328914,1085909857,12,"2017-09-01",2017,"千葉","Chiba"
36885,14680,22205,4819943290,2123689098,2696254192,13,"2017-09-01",2017,"東京","Tokyo"
25561,10755,14806,3347201315,1609528883,1737672432,14,"2017-09-01",2017,"神奈川","Kanagawa"
7150,2747,4403,817328396,351542822,465785574,15,"2017-09-01",2017,"新潟","Niigata"
3091,1113,1978,358492869,144766196,213726673,16,"2017-09-01",2017,"富山","Toyama"
3699,1293,2406,418250355,168101910,250148445,17,"2017-09-01",2017,"石川","Ishikawa"
2222,818,1404,241541148,103271653,138269495,18,"2017-09-01",2017,"福井","Fukui"
2373,920,1453,285645888,125707744,159938144,19,"2017-09-01",2017,"山梨","Yamanashi"
6519,2470,4049,752585873,325980499,426605374,20,"2017-09-01",2017,"長野","Nagano"
5851,2286,3565,653717974,293808038,359909936,21,"2017-09-01",2017,"岐阜","Gifu"
11239,4537,6702,1306472358,601099916,705372442,22,"2017-09-01",2017,"静岡","Shizuoka"
20786,7963,12823,2515464387,1092347294,1423117093,23,"2017-09-01",2017,"愛知","Aichi"
6093,2376,3717,686258274,304725274,381533000,24,"2017-09-01",2017,"三重","Mie"
4686,1782,2904,535409763,233528783,301880980,25,"2017-09-01",2017,"滋賀","Shiga"
